iter	Passed	Remaining
0	0	85
1	1	80
2	2	78
3	3	75
4	3	74
5	4	74
6	5	73
7	6	73
8	7	72
9	7	70
10	8	69
11	9	68
12	9	66
13	10	65
14	11	64
15	12	63
16	12	61
17	13	60
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	20	51
29	21	50
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	29	40
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	68	0
99	69	0
